wavelength,phase
517.9198408961851,206.39114334397064
518.3815267439031,205.72195085836722
518.8432125916212,205.03715972319327
519.3048984393391,204.33604432050558
519.7665842870572,203.61788595710658
520.2282701347752,202.88275119982995
520.6899559824932,202.1322041869577
521.1516418302112,201.36797733858023
521.6133276779293,200.59180307478826
522.0750135256473,199.80541381567258
522.5366993733653,199.0105419813234
522.9983852210834,198.20891999183158
523.4600710688013,197.40228026728784
523.9217569165194,196.5923552277824
524.3834427642374,195.78087729340615
524.8451286119555,194.9695788842496
525.3068144596734,194.16019242040346
525.7685003073915,193.3544503219581
526.2301861551095,192.55408500900424
526.6918720028275,191.7608289016327
527.1535578505456,190.97641441993366
527.6152436982636,190.20257398399792
528.0769295459816,189.4410400139163
528.5386153936996,188.693544929779
529.0003012414177,187.96182115167682
529.4619870891356,187.24760109970057
529.9236729368537,186.55261719394042
530.3853587845717,185.87860185448716
530.8470446322897,185.2272875014316
531.3087304800077,184.60040655486398
531.7704163277258,183.99969143487507
532.2321021754437,183.42687456155565
532.6937880231618,182.88368835499597
533.1554738708799,182.37186523528678
533.6171597185978,181.89313762251885
534.0788455663159,181.4492379367825
534.5405314140339,181.04189859816847
535.0022172617519,180.67285202676746
535.4639031094699,180.34383064266987
535.925588957188,180.0565668659664
536.3872748049059,179.81279311674768
536.848960652624,179.61424181510424
537.310646500342,179.4626453811267
537.77233234806,179.35973623490568
538.234018195778,179.30724679653176
538.6957040434961,179.30690948609555
539.157389891214,179.36045672368766
539.6190757389321,179.46962092939873
540.0807615866502,179.63613452331927
540.5424474343682,179.86153476181056
541.0041332820862,180.1436080105165
541.4658191298042,180.4767589483845
541.9275049775223,180.85527118005768
542.3891908252402,181.27342831017907
542.8508766729583,181.72551394339192
543.3125625206764,182.2058116843393
543.7742483683943,182.70860513766405
544.2359342161124,183.22817790800974
544.6976200638304,183.7588136000192
545.1593059115484,184.29479581833547
545.6209917592664,184.83040816760192
546.0826776069845,185.35993425246144
546.5443634547024,185.87765767755712
547.0060493024205,186.37786204753232
547.4677351501385,186.85483096702998
547.9294209978566,187.30284804069325
548.3911068455745,187.71619687316502
548.8527926932926,188.08916106908873
549.3144785410107,188.41602423310732
549.7761643887286,188.6910699698639
550.2378502364467,188.9085818840016
550.6995360841647,189.0628435801635
551.1612219318827,189.14813866299278
551.6229077796007,189.15875073713252
552.0845936273188,189.08896340722572
552.5462794750367,188.93306027791573
